               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079196,            0.030737,            0.022694,             0.56335,             0.75207,             0.66642,             0.29315,            0.051182,            0.013161,           0.0047882,            0.070084,            0.003324,            0.003324
                   1,             0.05762,            0.022017,           0.0045799,             0.86305,             0.89331,             0.91252,             0.46566,            0.043329,           0.0098389,            0.002006,            0.039425,           0.0059983,           0.0059983
                   2,            0.050814,             0.01976,           0.0031656,             0.94644,             0.91316,             0.95004,              0.5477,            0.036528,           0.0088608,           0.0017697,           0.0081056,           0.0080125,           0.0080125
                   3,            0.045713,             0.01854,           0.0025723,             0.95568,             0.94364,              0.9716,              0.6493,            0.028584,           0.0082094,           0.0014329,             0.00802,             0.00802,             0.00802
                   4,             0.04318,            0.019175,           0.0023132,             0.96331,               0.961,             0.97886,             0.67431,            0.027443,           0.0078573,           0.0011184,             0.00802,             0.00802,             0.00802
                   5,            0.039946,            0.018641,           0.0020039,             0.97383,             0.96506,             0.98109,             0.70535,            0.024755,           0.0074062,           0.0010741,             0.00736,             0.00736,             0.00736
                   6,            0.038194,            0.018036,           0.0016735,             0.96529,             0.96858,             0.98183,             0.68832,            0.024857,            0.007444,          0.00070493,              0.0067,              0.0067,              0.0067
                   7,            0.036035,            0.017646,           0.0015613,             0.97361,             0.96006,             0.97955,             0.72147,            0.022857,           0.0068426,          0.00052727,             0.00604,             0.00604,             0.00604
                   8,            0.035103,            0.017345,            0.001463,             0.97413,             0.97515,             0.98576,              0.7467,            0.021273,           0.0066347,          0.00050354,             0.00538,             0.00538,             0.00538
                   9,            0.033555,            0.017148,           0.0015875,              0.9715,             0.97096,             0.98683,             0.73412,            0.021072,           0.0066126,          0.00043502,             0.00472,             0.00472,             0.00472
                  10,            0.032419,            0.016537,           0.0014209,             0.97317,             0.97255,             0.98344,              0.7387,            0.021165,           0.0064417,          0.00050688,             0.00406,             0.00406,             0.00406
                  11,            0.031244,            0.016511,           0.0012114,             0.97232,             0.97572,             0.98772,             0.76005,            0.020022,           0.0062838,          0.00038088,              0.0034,              0.0034,              0.0034
                  12,            0.030271,            0.016063,           0.0011407,             0.97103,             0.97791,             0.98545,             0.77036,            0.019447,            0.006263,          0.00031333,             0.00274,             0.00274,             0.00274
                  13,            0.029765,            0.015762,           0.0011369,             0.97108,             0.97529,             0.98641,             0.77082,            0.019161,           0.0061124,          0.00027251,             0.00208,             0.00208,             0.00208
                  14,            0.029079,             0.01557,           0.0010799,             0.96641,               0.979,             0.98398,             0.75966,            0.019395,           0.0060656,          0.00023778,             0.00142,             0.00142,             0.00142
